web-scraper-order,web-scraper-start-url,brand_raw,year_raw,km_raw,ps_raw,place_raw,price_raw,modell_raw,gear_raw,fuel_raw
"1671628600-204,""https://www.autolina.ch/carList/page/47?region=ZH"",""FORD"",""2012"",""161'000"",""125"",""8340 Hinwil / ZH"",""3'600"",""Focus 1.0 SCTi Carving"",""Handschaltung"",""Benzin"""
"1671628600-205,""https://www.autolina.ch/carList/page/47?region=ZH"",""VW"",""2009"",""73'000"",""160"",""8340 Hinwil / ZH"",""8'900"",""Eos 1.4 TSI Value"",""Handschaltung"",""Benzin"""
"1671628600-206,""https://www.autolina.ch/carList/page/47?region=ZH"",""NISSAN"",""2014"",""105'000"",""131"",""8340 Hinwil / ZH"",""13'900"",""Qashqai 1.6 dCi 360° ALL-MODE 4x4"",""Handschaltung"",""Diesel"""
"1671628600-207,""https://www.autolina.ch/carList/page/47?region=ZH"",""FORD"",""2016"",""127'000"",""160"",""8340 Hinwil / ZH"",""13'900"",""Galaxy 1.5 SCTi Family Edition"",""Handschaltung"",""Benzin"""
"1671628600-208,""https://www.autolina.ch/carList/page/47?region=ZH"",""AUDI"",""2016"",""311'000"",""272"",""8340 Hinwil / ZH"",""29'800"",""Q7 3.0 TDI quattro tiptronic"",""Automat"",""Diesel"""
"1671628600-209,""https://www.autolina.ch/carList/page/47?region=ZH"",""FORD"",""2006"",""98'000"",""150"",""8618 Oetwil am See / ZH"",""3'400"",""Maverick 2.3 16V"",""Handschaltung"",""Benzin"""
"1671628600-210,""https://www.autolina.ch/carList/page/47?region=ZH"",""FORD"",""2007"",""239'000"",""155"",""8618 Oetwil am See / ZH"",""5'900"",""Escape XLT HYBRID"",""Automat"",""Voll-Hybrid Benzin/Elektro"""
"1671628603-211,""https://www.autolina.ch/carList/page/46?region=ZH"",""MERCEDES-BENZ"",""2019"",""113'721"",""194"",""8413 WINTERTHUR - NEFTENBACH / ZH"",""27'500"",""C 220 d Swiss Star AMG Line 4M 9G-Tronic"",""Automat"",""Diesel"""
"1671628603-212,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""null"",""25"",""110"",""8184 Bachenbülach / ZH"",""28'900"",""Polo 1.0 TSI Life DSG"",""Automat"",""Benzin"""
"1671628603-213,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""null"",""25"",""319"",""8184 Bachenbülach / ZH"",""86'900"",""Tiguan 2.0TSI R 4Motion DSG"",""Automat"",""Benzin"""
"1671628603-214,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""null"",""25"",""280"",""8184 Bachenbülach / ZH"",""78'500"",""Passat Variant 2.0 TSI Elegance 4Motion DSG"",""Automat"",""Benzin"""
"1671628603-215,""https://www.autolina.ch/carList/page/46?region=ZH"",""HYUNDAI"",""2021"",""20'000"",""217"",""8932 Mettmenstetten / ZH"",""49'900"",""Ioniq 5 Amplia"",""Automat"",""Elektro"""
"1671628603-216,""https://www.autolina.ch/carList/page/46?region=ZH"",""HYUNDAI"",""null"",""14"",""101"",""8932 Mettmenstetten / ZH"",""21'290"",""i10 1.0 T-GDi N-Line"",""Handschaltung"",""Benzin"""
"1671628603-217,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""2022"",""4'500"",""204"",""8803 Rüschlikon / ZH"",""84'900"",""ID. Buzz Pro Launch"",""Automat"",""Elektro"""
"1671628603-218,""https://www.autolina.ch/carList/page/46?region=ZH"",""FORD"",""2020"",""9'000"",""170"",""8406 Winterthur / ZH"",""41'900"",""Ranger DKab.Pick-up 2.0 EcoBlue 4x4 XLT"",""Automat"",""Diesel"""
"1671628603-219,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""null"",""15"",""174"",""8406 Winterthur / ZH"",""64'900"",""ID.5 Pro"",""Automat"",""Elektro"""
"1671628603-220,""https://www.autolina.ch/carList/page/46?region=ZH"",""RENAULT"",""2019"",""58'000"",""299"",""8820 Wädenswil / ZH"",""32'900"",""Mégane Sport 1.8 T Trophy EDC"",""Automat"",""Benzin"""
"1671628603-221,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""null"",""15"",""245"",""8406 Winterthur / ZH"",""61'900"",""Golf GTE"",""Automat"",""Voll-Hybrid Benzin/Elektro"""
"1671628603-222,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""null"",""15"",""204"",""8406 Winterthur / ZH"",""68'900"",""ID.4 Pro Performance"",""Automat"",""Elektro"""
"1671628603-223,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""null"",""15"",""174"",""8406 Winterthur / ZH"",""64'900"",""ID.5 Pro"",""Automat"",""Elektro"""
"1671628603-224,""https://www.autolina.ch/carList/page/46?region=ZH"",""VW"",""2012"",""66'600"",""90"",""8604 Hegnau / Volketswil / ZH"",""9'900"",""Polo 1.2 TSI Comfortline"",""Handschaltung"",""Benzin"""
